State,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
United States,0.24,0.09,0.12,0.26,0.13,0.16
Alabama,0.24,0.09,0.11,0.26,0.14,0.17
Alaska,0.27,0.09,0.14,0.26,0.13,0.11
Arizona,0.25,0.09,0.12,0.25,0.12,0.17
Arkansas,0.25,0.09,0.11,0.25,0.13,0.17
California,0.24,0.1,0.14,0.27,0.12,0.14
Colorado,0.24,0.09,0.14,0.27,0.13,0.14
Connecticut,0.22,0.09,0.11,0.27,0.15,0.17
Delaware,0.22,0.08,0.12,0.25,0.14,0.18
District of Columbia,0.19,0.1,0.22,0.27,0.1,0.12
Florida,0.21,0.08,0.11,0.25,0.14,0.2
Georgia,0.26,0.09,0.12,0.27,0.12,0.14
Hawaii,0.23,0.07,0.13,0.25,0.13,0.18
Idaho,0.27,0.09,0.11,0.24,0.13,0.15
Illinois,0.24,0.09,0.12,0.26,0.13,0.15
Indiana,0.25,0.09,0.12,0.26,0.13,0.15
Iowa,0.25,0.09,0.11,0.25,0.14,0.16
Kansas,0.26,0.09,0.12,0.24,0.13,0.15
Kentucky,0.24,0.09,0.11,0.26,0.14,0.16
Louisiana,0.26,0.09,0.12,0.25,0.13,0.15
Maine,0.2,0.07,0.11,0.26,0.16,0.2
Maryland,0.24,0.09,0.12,0.27,0.14,0.15
Massachusetts,0.22,0.09,0.13,0.27,0.14,0.16
Michigan,0.23,0.09,0.11,0.25,0.14,0.17
Minnesota,0.24,0.09,0.12,0.26,0.14,0.15
Mississippi,0.26,0.1,0.11,0.25,0.13,0.16
Missouri,0.24,0.09,0.12,0.25,0.14,0.16
Montana,0.23,0.09,0.11,0.24,0.15,0.18
Nebraska,0.26,0.09,0.12,0.24,0.13,0.15
Nevada,0.24,0.09,0.13,0.27,0.13,0.16
New Hampshire,0.2,0.08,0.11,0.27,0.16,0.18
New Jersey,0.23,0.08,0.12,0.27,0.14,0.16
New Mexico,0.25,0.09,0.12,0.24,0.14,0.17
New York,0.22,0.09,0.13,0.26,0.13,0.16
North Carolina,0.24,0.09,0.12,0.27,0.13,0.16
North Dakota,0.24,0.1,0.14,0.24,0.13,0.15
Ohio,0.24,0.09,0.12,0.25,0.14,0.17
Oklahoma,0.26,0.09,0.12,0.25,0.13,0.15
Oregon,0.22,0.09,0.13,0.26,0.13,0.17
Pennsylvania,0.22,0.08,0.12,0.25,0.14,0.18
Rhode Island,0.21,0.09,0.12,0.26,0.14,0.17
South Carolina,0.23,0.09,0.11,0.26,0.14,0.18
South Dakota,0.26,0.09,0.12,0.24,0.14,0.16
Tennessee,0.24,0.09,0.12,0.26,0.13,0.16
Texas,0.28,0.1,0.13,0.26,0.11,0.12
Utah,0.32,0.11,0.13,0.24,0.1,0.11
Vermont,0.2,0.09,0.11,0.25,0.16,0.19
Virginia,0.24,0.09,0.12,0.27,0.13,0.15
Washington,0.24,0.09,0.13,0.26,0.13,0.15
West Virginia,0.22,0.08,0.1,0.26,0.15,0.19
Wisconsin,0.23,0.09,0.11,0.26,0.14,0.17
Wyoming,0.25,0.09,0.12,0.24,0.14,0.16
Puerto Rico,0.21,0.1,0.1,0.26,0.13,0.2