Year_week,Year,Month
200852,2008,December
200901,2009,January
200902,2009,January
200903,2009,January
200904,2009,January
200905,2009,January
200906,2009,February
200907,2009,February
200908,2009,February
200909,2009,February
200910,2009,March
200911,2009,March
200912,2009,March
200913,2009,March
200914,2009,March
200915,2009,April
200916,2009,April
200917,2009,April
200918,2009,April
200919,2009,May
200920,2009,May
200921,2009,May
200922,2009,May
200923,2009,June
200924,2009,June
200925,2009,June
200926,2009,June
200927,2009,June
200928,2009,July
200929,2009,July
200930,2009,July
200931,2009,July
200932,2009,August
200933,2009,August
200934,2009,August
200935,2009,August
200936,2009,August
200937,2009,September
200938,2009,September
200939,2009,September
200940,2009,September
200941,2009,October
200942,2009,October
200943,2009,October
200944,2009,October
200945,2009,November
200946,2009,November
200947,2009,November
200948,2009,November
200949,2009,November
200950,2009,December
200951,2009,December
200952,2009,December
200953,2009,December
201001,2010,January
201002,2010,January
201003,2010,January
201004,2010,January
201005,2010,February
201006,2010,February
201007,2010,February
201008,2010,February
201009,2010,March
201010,2010,March
201011,2010,March
201012,2010,March
201013,2010,March
201014,2010,April
201015,2010,April
201016,2010,April
201017,2010,April
201018,2010,May
201019,2010,May
201020,2010,May
201021,2010,May
201022,2010,May
201023,2010,June
201024,2010,June
201025,2010,June
201026,2010,June
201027,2010,July
201028,2010,July
201029,2010,July
201030,2010,July
201031,2010,August
201032,2010,August
201033,2010,August
201034,2010,August
201035,2010,August
201036,2010,September
201037,2010,September
201038,2010,September
201039,2010,September
201040,2010,October
201041,2010,October
201042,2010,October
201043,2010,October
201044,2010,November
201045,2010,November
201046,2010,November
201047,2010,November
201048,2010,November
201049,2010,December
201050,2010,December
201051,2010,December
201052,2010,December
201101,2011,January
201102,2011,January
201103,2011,January
201104,2011,January
201105,2011,January
201106,2011,February
201107,2011,February
201108,2011,February
201109,2011,February
201110,2011,March
201111,2011,March
201112,2011,March
201113,2011,March
201114,2011,April
201115,2011,April
201116,2011,April
201117,2011,April
201118,2011,May
201119,2011,May
201120,2011,May
201121,2011,May
201122,2011,May
201123,2011,June
201124,2011,June
201125,2011,June
201126,2011,June
201127,2011,July
201128,2011,July
201129,2011,July
201130,2011,July
201131,2011,August
201132,2011,August
201133,2011,August
201134,2011,August
201135,2011,August
201136,2011,September
201137,2011,September
201138,2011,September
201139,2011,September
201140,2011,October
201141,2011,October
201142,2011,October
201143,2011,October
201144,2011,October
201145,2011,November
201146,2011,November
201147,2011,November
201148,2011,November
201149,2011,December
201150,2011,December
201151,2011,December
201152,2011,December
201201,2012,January
201202,2012,January
201203,2012,January
201204,2012,January
201205,2012,January
201206,2012,February
201207,2012,February
201208,2012,February
201209,2012,February
201210,2012,March
201211,2012,March
201212,2012,March
201213,2012,March
201214,2012,April
201215,2012,April
201216,2012,April
201217,2012,April
201218,2012,April
201219,2012,May
201220,2012,May
201221,2012,May
201222,2012,May
201223,2012,June
201224,2012,June
201225,2012,June
201226,2012,June
201227,2012,July
201228,2012,July
201229,2012,July
201230,2012,July
201231,2012,July
201232,2012,August
201233,2012,August
201234,2012,August
201235,2012,August
201236,2012,September
201237,2012,September
201238,2012,September
201239,2012,September
201240,2012,October
201241,2012,October
201242,2012,October
201243,2012,October
201244,2012,October
201245,2012,November
201246,2012,November
201247,2012,November
201248,2012,November
201249,2012,December
201250,2012,December
201251,2012,December
201252,2012,December
201301,2013,January
201302,2013,January
201303,2013,January
201304,2013,January
201305,2013,January
201306,2013,February
201307,2013,February
201308,2013,February
201309,2013,February
201310,2013,March
201311,2013,March
201312,2013,March
201313,2013,March
201314,2013,April
201315,2013,April
201316,2013,April
201317,2013,April
201318,2013,April
201319,2013,May
201320,2013,May
201321,2013,May
201322,2013,May
201323,2013,June
201324,2013,June
201325,2013,June
201326,2013,June
201327,2013,July
201328,2013,July
201329,2013,July
201330,2013,July
201331,2013,July
201332,2013,August
201333,2013,August
201334,2013,August
201335,2013,August
201336,2013,September
201337,2013,September
201338,2013,September
201339,2013,September
201340,2013,September
201341,2013,October
201342,2013,October
201343,2013,October
201344,2013,October
201345,2013,November
201346,2013,November
201347,2013,November
201348,2013,November
201349,2013,December
201350,2013,December
201351,2013,December
201352,2013,December
201401,2014,January
201402,2014,January
201403,2014,January
201404,2014,January
201405,2014,January
201406,2014,February
201407,2014,February
201408,2014,February
201409,2014,February
201410,2014,March
201411,2014,March
201412,2014,March
201413,2014,March
201414,2014,March
201415,2014,April
201416,2014,April
201417,2014,April
201418,2014,April
201419,2014,May
201420,2014,May
201421,2014,May
201422,2014,May
201423,2014,June
201424,2014,June
201425,2014,June
201426,2014,June
201427,2014,June
201428,2014,July
201429,2014,July
201430,2014,July
201431,2014,July
201432,2014,August
201433,2014,August
201434,2014,August
201435,2014,August
201436,2014,September
201437,2014,September
201438,2014,September
201439,2014,September
201440,2014,September
201441,2014,October
201442,2014,October
201443,2014,October
201444,2014,October
201445,2014,November
201446,2014,November
201447,2014,November
201448,2014,November
201449,2014,December
201450,2014,December
201451,2014,December
201452,2014,December
201501,2015,January
201502,2015,January
201503,2015,January
201504,2015,January
201505,2015,January
201506,2015,February
201507,2015,February
201508,2015,February
201509,2015,February
201510,2015,March
201511,2015,March
201512,2015,March
201513,2015,March
201514,2015,March
201515,2015,April
201516,2015,April
201517,2015,April
201518,2015,April
201519,2015,May
201520,2015,May
201521,2015,May
201522,2015,May
201523,2015,June
201524,2015,June
201525,2015,June
201526,2015,June
201527,2015,June
201528,2015,July
201529,2015,July
201530,2015,July
201531,2015,July
201532,2015,August
201533,2015,August
201534,2015,August
201535,2015,August
201536,2015,August
201537,2015,September
201538,2015,September
201539,2015,September
201540,2015,September
201541,2015,October
201542,2015,October
201543,2015,October
201544,2015,October
201545,2015,November
201546,2015,November
201547,2015,November
201548,2015,November
201549,2015,November
201550,2015,December
201551,2015,December
201552,2015,December
201553,2015,December
201601,2016,January
201602,2016,January
201603,2016,January
201604,2016,January
201605,2016,February
201606,2016,February
201607,2016,February
201608,2016,February
201609,2016,February
201610,2016,March
201611,2016,March
201612,2016,March
201613,2016,March
201614,2016,April
201615,2016,April
201616,2016,April
201617,2016,April
201618,2016,May
201619,2016,May
201620,2016,May
201621,2016,May
201622,2016,May
201623,2016,June
201624,2016,June
201625,2016,June
201626,2016,June
201627,2016,July
201628,2016,July
201629,2016,July
201630,2016,July
201631,2016,August
201632,2016,August
201633,2016,August
201634,2016,August
201635,2016,August
201636,2016,September
201637,2016,September
201638,2016,September
201639,2016,September
201640,2016,October
201641,2016,October
201642,2016,October
201643,2016,October
201644,2016,October
201645,2016,November
201646,2016,November
201647,2016,November
201648,2016,November
201649,2016,December
201650,2016,December
201651,2016,December
201652,2016,December
201701,2017,January
201702,2017,January
201703,2017,January
201704,2017,January
201705,2017,January
201706,2017,February
201707,2017,February
201708,2017,February
201709,2017,February
201710,2017,March
201711,2017,March
201712,2017,March
201713,2017,March
201714,2017,April
201715,2017,April
201716,2017,April
201717,2017,April
201718,2017,May
201719,2017,May
201720,2017,May
201721,2017,May
201722,2017,May
201723,2017,June
201724,2017,June
201725,2017,June
201726,2017,June
201727,2017,July
201728,2017,July
201729,2017,July
201730,2017,July
201731,2017,July
201732,2017,August
201733,2017,August
201734,2017,August
201735,2017,August
201736,2017,September
201737,2017,September
201738,2017,September
201739,2017,September
201740,2017,October
201741,2017,October
201742,2017,October
201743,2017,October
201744,2017,October
201745,2017,November
201746,2017,November
201747,2017,November
201748,2017,November
201749,2017,December
201750,2017,December
201751,2017,December
201752,2017,December
201801,2018,January
201802,2018,January
201803,2018,January
201804,2018,January
201805,2018,January
201806,2018,February
201807,2018,February
201808,2018,February
201809,2018,February
201810,2018,March
201811,2018,March
201812,2018,March
201813,2018,March
201814,2018,April
201815,2018,April
201816,2018,April
201817,2018,April
201818,2018,April
201819,2018,May
201820,2018,May
201821,2018,May
201822,2018,May
201823,2018,June
201824,2018,June
201825,2018,June
201826,2018,June
201827,2018,July
201828,2018,July
201829,2018,July
201830,2018,July
201831,2018,July
201832,2018,August
201833,2018,August
201834,2018,August
201835,2018,August
201836,2018,September
201837,2018,September
201838,2018,September
201839,2018,September
201840,2018,October
201841,2018,October
201842,2018,October
201843,2018,October
201844,2018,October
201845,2018,November
201846,2018,November
201847,2018,November
201848,2018,November
201849,2018,December
201850,2018,December
201851,2018,December
201852,2018,December